#tail	head	KSP index
SRC	P01133	1
SRC	P00533	2
SRC	P04626	3
SRC	P21860	4
SRC	Q8NFM7	5
SRC	P10586	6
P01133	P04626	7
P01133	Q13191	8
P01133	P00533	9
P01133	P62993	10
P01133	P22681	11
P01133	O00459	12
P01133	P63104	13
P01133	P27986	14
P00533	P31749	15
P00533	P15498	16
P00533	Q13882	17
P00533	O15524	18
P00533	P62993	19
P00533	P18031	20
P00533	Q13153	21
P00533	Q05397	22
P00533	Q9NP31	23
P00533	P10644	24
P00533	O15530	25
P00533	P04626	26
P00533	P42224	27
P00533	O14543	28
P00533	P20936	29
P00533	P46109	30
P00533	P46108	31
P00533	Q14289	32
P00533	P42338	33
P00533	P42336	34
P00533	Q92625	35
P00533	P63104	36
P00533	Q99558	37
P00533	P27986	38
P00533	Q9ULV8	39
P00533	P48736	40
P00533	P16333	41
P00533	P42229	42
P00533	Q13191	43
P00533	P51692	44
P00533	P29350	45
P00533	P28482	46
P00533	P19174	47
P00533	O00459	48
P00533	O00329	49
P00533	P23458	50
P00533	O60674	51
P00533	P21860	52
P00533	Q06124	53
P00533	P22681	54
P00533	P01100	55
P00533	P27361	56
P00533	P40763	57
P00533	P12931	58
P00533	Q9UKG1	59
P00533	Q05655	60
P00533	Q92569	61
P00533	P42858	62
P04626	P15498	63
P04626	P20936	64
P04626	O15524	65
P04626	P48736	66
P04626	P23458	67
P04626	Q92569	68
P04626	Q13882	69
P04626	P42224	70
P04626	P46109	71
P04626	P46108	72
P04626	Q14289	73
P04626	P42338	74
P04626	P00533	75
P04626	P42336	76
P04626	P62993	77
P04626	Q92625	78
P04626	P27986	79
P04626	Q13153	80
P04626	Q9NP31	81
P04626	Q05397	82
P04626	P28482	83
P04626	P19174	84
P04626	O00459	85
P04626	O00329	86
P04626	O60674	87
P04626	P21860	88
P04626	Q06124	89
P04626	P01106	90
P04626	P27361	91
P04626	P40763	92
P04626	P12931	93
P21860	P15498	94
P21860	Q13882	95
P21860	P20936	96
P21860	Q13191	97
P21860	P22681	98
P21860	P48736	99
P21860	P01106	100
P21860	Q05397	101
P21860	P46108	102
P21860	P42338	103
P21860	P42336	104
P21860	P27986	105
P21860	P12931	106
P21860	P46109	107
P21860	O00459	108
P21860	O00329	109
P21860	Q92569	110
P21860	Q9ULV8	111
P21860	O60674	112
P21860	P62993	113
P21860	P16333	114
P21860	P19174	115
P21860	P04626	116
P15498	P16333	117
P15498	P00533	118
P15498	P62993	119
P15498	Q13191	120
P15498	P46108	121
P15498	P28482	122
P15498	O15524	123
P15498	P22681	124
P15498	P27986	125
P15498	P04626	126
P15498	P63000	127
P15498	Q07666	128
P15498	P21860	129
Q13882	P00533	130
Q13882	P51692	131
Q13882	P31749	132
Q13882	Q07666	133
Q13882	P04626	134
Q13882	P21860	135
Q13882	Q92625	136
P20936	O14543	137
P20936	P21860	138
P20936	O15524	139
P20936	P62993	140
P20936	Q14289	141
P20936	Q07666	142
P20936	P00533	143
P20936	P19174	144
P20936	P12931	145
P20936	P27986	146
P20936	P04626	147
P20936	P42858	148
P20936	P16333	149
Q13191	P15498	150
Q13191	P16333	151
Q13191	P62993	152
Q13191	P48736	153
Q13191	P01106	154
Q13191	O00459	155
Q13191	O00329	156
Q13191	Q92569	157
Q13191	P46109	158
Q13191	P46108	159
Q13191	P42338	160
Q13191	P42336	161
Q13191	P63104	162
Q13191	P27986	163
Q13191	Q06124	164
Q13191	P01133	165
Q13191	P00533	166
Q13191	P23458	167
Q13191	O60674	168
Q13191	P21860	169
Q13191	P12931	170
Q13191	P22681	171
P22681	P15498	172
P22681	P16333	173
P22681	P62993	174
P22681	P48736	175
P22681	O00329	176
P22681	Q92569	177
P22681	P46109	178
P22681	P46108	179
P22681	Q14289	180
P22681	P42338	181
P22681	P42336	182
P22681	P63104	183
P22681	P27986	184
P22681	Q06124	185
P22681	P01133	186
P22681	Q13191	187
P22681	P00533	188
P22681	P19174	189
P22681	O00459	190
P22681	P23458	191
P22681	O60674	192
P22681	P21860	193
P22681	Q07666	194
P22681	P01106	195
P22681	P12931	196
P48736	P31749	197
P48736	P00533	198
P48736	Q05513	199
P48736	Q06124	200
P48736	O00329	201
P48736	Q14289	202
P48736	P42338	203
P48736	P40763	204
P48736	P19174	205
P48736	Q92569	206
P48736	Q05655	207
P48736	O00459	208
P48736	P27986	209
P48736	O15530	210
P48736	P42336	211
P48736	P63000	212
P48736	Q05397	213
P48736	P42345	214
P01106	Q04206	215
P01106	P40763	216
P01106	O15524	217
P01106	O14543	218
P01106	P49715	219
P01106	O00329	220
P01106	P08047	221
P01106	Q15796	222
P01106	Q14289	223
P01106	P84022	224
P01106	Q9Y6Q9	225
P01106	P05412	226
P01106	SNK	227
Q05397	P62993	228
Q05397	P48736	229
Q05397	P18031	230
Q05397	P27361	231
Q05397	P63000	232
Q05397	P42224	233
Q05397	P46109	234
Q05397	P46108	235
Q05397	P42338	236
Q05397	P42336	237
Q05397	P12931	238
Q05397	P27986	239
Q05397	Q13153	240
Q05397	P28482	241
Q05397	O00459	242
Q05397	O00329	243
Q05397	P21860	244
Q05397	Q06124	245
Q05397	Q9Y6Q9	246
Q05397	Q92569	247
P46108	P62993	248
P46108	Q13191	249
P46108	Q05397	250
P46108	P15498	251
P46108	P42229	252
P46108	P46109	253
P46108	Q14289	254
P46108	P42338	255
P46108	P42336	256
P46108	P27986	257
P46108	P48736	258
P46108	P18031	259
